Sample	likelihood	
0	-192560.89358602648	
100	-192560.76780646527	
200	-192558.50543262108	
300	-192560.34597988456	
400	-192560.2755468939	
500	-192561.44043271453	
600	-192561.35751919044	
700	-192562.54112313144	
800	-192561.5313131445	
900	-192559.82377050028	
1000	-192559.86178264322	
1100	-192559.84516026097	
1200	-192559.08509212596	
1300	-192559.09986837965	
1400	-192557.59464005218	
1500	-192557.93304940613	
1600	-192558.91187160788	
1700	-192560.10559069514	
1800	-192560.68528587336	
1900	-192561.3836944835	
2000	-192559.94910500152	
2100	-192560.30578261637	
2200	-192546.64143917884	
2300	-192546.64143917884	
2400	-192548.573893403	
2500	-192549.78710063902	
2600	-192550.32319682237	
2700	-192551.14849133883	
2800	-192551.14849133883	
2900	-192551.14849133883	
3000	-192551.77220736095	
3100	-192551.68703338088	
3200	-192555.08885032445	
3300	-192556.02022561064	
3400	-192556.193775896	
3500	-192554.4425053198	
3600	-192550.6907141661	
3700	-192551.21610901036	
3800	-192553.67603677342	
3900	-192554.0464781809	
4000	-192553.33260844654	
4100	-192556.46685005422	
4200	-192556.76557521336	
4300	-192556.75580278633	
4400	-192557.22870413348	
4500	-192555.9850024301	
4600	-192552.32417390993	
4700	-192556.55075728637	
4800	-192556.55075728637	
4900	-192553.13947308913	
5000	-192548.077554004	
5100	-192547.45589981246	
5200	-192547.45589981246	
5300	-192549.82305070315	
5400	-192549.82305070315	
5500	-192552.1249102696	
5600	-192551.8164635061	
5700	-192556.04902445225	
5800	-192549.1299984126	
5900	-192547.95487391096	
6000	-192548.32862645132	
6100	-192548.32862645132	
6200	-192548.32862645132	
6300	-192549.1194250105	
6400	-192548.87004790409	
6500	-192552.0084826758	
6600	-192550.24379044797	
6700	-192550.81104632615	
6800	-192546.79866703827	
6900	-192546.59847542454	
7000	-192546.42716695703	
7100	-192544.93410012638	
7200	-192546.79135074394	
7300	-192547.20040688996	
7400	-192550.6728155042	
7500	-192550.4574653404	
7600	-192550.91112713417	
7700	-192550.91112713417	
7800	-192550.83512144568	
7900	-192551.41239693272	
8000	-192552.40780441684	
8100	-192553.47999162905	
8200	-192553.50364435394	
8300	-192524.40241654855	
8400	-192523.36606548764	
8500	-192522.58189861005	
8600	-192521.5476482246	
8700	-192520.8532673646	
8800	-192520.56362352837	
8900	-192518.95343455873	
9000	-192517.54886321898	
9100	-192520.08907370034	
9200	-192521.73893749094	
9300	-192521.15837574285	
9400	-192521.15837574285	
9500	-192520.2161331294	
9600	-192519.26823459988	
9700	-192522.0822932	
9800	-192527.34022029542	
9900	-192525.22806328122	
10000	-192525.31238570483	
10100	-192522.5760252069	
10200	-192522.88763305155	
10300	-192522.88763305155	
10400	-192523.76217403484	
10500	-192522.43190783804	
10600	-192518.12135263195	
10700	-192520.35679403192	
10800	-192520.28724228678	
10900	-192521.4606648706	
11000	-192522.28072163922	
11100	-192525.66729355164	
11200	-192524.15590479746	
11300	-192521.7723498559	
11400	-192521.10979452185	
11500	-192521.2380718795	
11600	-192522.18151081816	
11700	-192523.93963568396	
11800	-192523.62464932218	
11900	-192526.09246010482	
12000	-192529.74372092893	
12100	-192527.63070229435	
12200	-192526.22550924908	
12300	-192528.28601641583	
12400	-192531.78875351223	
12500	-192533.64390457305	
12600	-192533.64390457305	
12700	-192535.34371907357	
12800	-192532.36359380113	
12900	-192532.36359380113	
13000	-192530.5997654631	
13100	-192531.03699740552	
13200	-192530.49734392084	
13300	-192528.9554144754	
13400	-192527.9503262118	
13500	-192517.1913543145	
13600	-192513.7965639488	
13700	-192513.53941447797	
13800	-192510.59921993592	
13900	-192511.7184772274	
14000	-192513.2824701377	
14100	-192509.65494511687	
14200	-192511.73288209212	
14300	-192509.54301542675	
14400	-192509.54301542675	
14500	-192508.27554085152	
14600	-192508.229718356	
14700	-192507.16998361482	
14800	-192504.7241998887	
14900	-192498.9108796356	
15000	-192498.28933083278	
15100	-192501.9581663334	
15200	-192504.40931230868	
15300	-192507.18900914714	
15400	-192505.69571064095	
15500	-192508.52723649528	
15600	-192508.4541502948	
15700	-192508.17937321198	
15800	-192506.94660863647	
15900	-192507.67820581206	
16000	-192506.8759952916	
16100	-192507.65466128173	
16200	-192487.65588464352	
16300	-192487.74255496764	
16400	-192487.17999049573	
16500	-192487.23108684545	
16600	-192487.65884641843	
16700	-192486.91462809037	
16800	-192484.43842825448	
16900	-192484.663513386	
17000	-192484.08817838997	
17100	-192487.8288359117	
17200	-192488.92637163898	
17300	-192489.87491441998	
17400	-192490.98240565526	
17500	-192493.43730981514	
17600	-192493.43730981514	
17700	-192494.82669776087	
17800	-192494.50735271085	
17900	-192489.87028963	
18000	-192489.0444068187	
18100	-192488.884945268	
18200	-192488.95002501772	
18300	-192488.82893925402	
18400	-192489.24297269594	
18500	-192488.73497256942	
18600	-192488.5355304347	
18700	-192488.33782697015	
18800	-192495.15915653575	
18900	-192494.0600902408	
19000	-192452.52219182995	
19100	-192454.13695979174	
19200	-192458.89154725496	
19300	-192459.82199855373	
19400	-192456.45561736342	
19500	-192452.29577609288	
19600	-192452.0209994543	
19700	-192451.44131800588	
19800	-192452.02389531845	
19900	-192448.8418954411	
20000	-192446.76735133518	
20100	-192449.27072967362	
20200	-192448.77181908296	
20300	-192449.13937256168	
20400	-192448.4308588255	
20500	-192448.20800538093	
20600	-192448.49762797583	
20700	-192450.23196128578	
20800	-192451.51721969387	
20900	-192451.51721969387	
21000	-192449.25028273356	
21100	-192446.8806915363	
21200	-192446.95963947623	
21300	-192447.21420008235	
21400	-192447.21420008235	
21500	-192447.10625561816	
