Sample	likelihood	
0	-798408.6965335864	
100	-798403.1923533579	
200	-798382.4777413723	
300	-798312.648040756	
400	-798313.5733578386	
500	-798313.5931413419	
600	-798310.7001753446	
700	-798304.2203013487	
800	-798304.2979595376	
900	-798277.7273607838	
1000	-798270.9150324261	
1100	-798256.9621701281	
1200	-798257.3247729093	
1300	-798257.3380370276	
1400	-798247.7604052728	
1500	-798248.2282256039	
1600	-798245.5536572806	
1700	-798247.5384606909	
1800	-798171.8289023904	
1900	-798164.4578727845	
2000	-798159.5895234001	
2100	-798150.0772911763	
2200	-798130.8846364672	
2300	-798133.6276374026	
2400	-798112.932654911	
2500	-798112.2957240959	
2600	-798110.6238494656	
2700	-798112.2970926433	
2800	-798112.1530737334	
2900	-798109.785044024	
3000	-798105.2450964438	
3100	-798103.3480277428	
3200	-798104.7611449737	
3300	-798103.3427978676	
3400	-798088.151860211	
3500	-798086.2239028732	
3600	-798050.763746691	
3700	-798022.6410975491	
3800	-798023.0378333133	
3900	-798021.8426679552	
4000	-798022.4465593861	
4100	-798022.1761927379	
4200	-798019.1006434668	
4300	-798016.9695585205	
4400	-798009.8716544044	
4500	-798008.1743719697	
4600	-797980.979539854	
4700	-797980.2343112248	
4800	-797972.1007945816	
4900	-797852.4735227666	
5000	-797688.312334458	
5100	-797632.6664737315	
5200	-797477.5553506414	
5300	-797476.4684205143	
5400	-797476.6573607448	
5500	-797467.3414105793	
5600	-797465.7607403765	
5700	-797463.2749300915	
5800	-797463.0362927086	
5900	-797459.9585965703	
6000	-797446.3547308187	
6100	-797442.478443077	
6200	-797387.0362676921	
6300	-797385.7293200275	
6400	-797386.0725216666	
6500	-797360.0479251125	
6600	-797351.9944358413	
6700	-797318.5926720824	
6800	-797318.0109417783	
6900	-797225.9186823724	
7000	-797219.8540495262	
7100	-797217.1703172184	
7200	-797192.0328858102	
7300	-797190.3396359992	
7400	-797184.3975590845	
7500	-796891.8008092735	
7600	-796888.4744297883	
7700	-796882.9703692482	
7800	-796878.3799311612	
7900	-796843.6391834377	
8000	-796787.3280273912	
8100	-796785.230920667	
8200	-796735.9791166775	
8300	-796692.6807370345	
8400	-796693.5222741807	
8500	-796689.5497231609	
8600	-796687.6867242109	
8700	-796686.5382032889	
8800	-796655.9013731373	
8900	-796655.2969406693	
9000	-796657.2354276193	
9100	-796644.8895305279	
9200	-796644.5064045852	
9300	-796630.3002122968	
9400	-796617.1756013554	
9500	-796616.7476940876	
9600	-796562.0572789027	
9700	-796562.6215966074	
9800	-796531.2811546206	
9900	-796524.0914554216	
10000	-796527.0123816094	
10100	-796525.8936918578	
10200	-796524.2693730275	
10300	-796500.9016029107	
10400	-796501.9436947278	
10500	-796501.657344777	
10600	-796474.4743632068	
10700	-796474.3449635223	
10800	-796474.8965274473	
10900	-796443.0511927434	
11000	-796391.8402295681	
11100	-796385.5103613331	
11200	-796306.7719355817	
11300	-796306.0085852543	
11400	-796304.7576117495	
11500	-796264.668154894	
11600	-796235.084390342	
11700	-796234.4737261379	
11800	-796216.8933644677	
11900	-796215.3493644857	
12000	-796216.0733534055	
12100	-796216.217745424	
12200	-796216.2004548651	
12300	-796206.798429341	
12400	-796206.2648278296	
12500	-796201.236685912	
12600	-796199.818424243	
12700	-796185.7489147213	
12800	-796185.7489147213	
12900	-796184.7780226315	
13000	-796179.2836806404	
13100	-796176.4394324777	
13200	-796173.9482105756	
13300	-796173.7942861575	
13400	-796118.8628638039	
13500	-796120.4498807407	
13600	-796025.3487881802	
13700	-796021.5281529857	
13800	-796021.1074536068	
13900	-796019.6628472342	
14000	-796019.2473324103	
14100	-796019.068422888	
14200	-796014.0302277834	
14300	-795861.9741397835	
14400	-795862.4260843114	
14500	-795862.2837929841	
14600	-795862.010980364	
14700	-795858.8294638215	
14800	-795859.682427931	
14900	-795850.154621396	
15000	-795850.6457731646	
15100	-795845.8379114799	
15200	-795845.4139818634	
15300	-795791.3727781087	
15400	-795795.040074735	
15500	-795795.2189889929	
15600	-795794.8371725512	
15700	-795790.131428889	
15800	-795791.1869246517	
15900	-795790.1059695338	
16000	-795791.6980668796	
16100	-795790.8575064094	
16200	-795790.5146879957	
16300	-795780.2233281373	
16400	-795776.1147216156	
16500	-795764.724147673	
16600	-795754.9660616986	
16700	-795755.1511496225	
16800	-795753.023889189	
16900	-795752.1285704015	
17000	-795750.6200040957	
17100	-795749.8061104757	
17200	-795746.460824978	
17300	-795746.3178301894	
17400	-795742.59165295	
17500	-795737.5085720199	
17600	-795729.5337775965	
17700	-795731.1114809762	
17800	-795731.4696264615	
17900	-795730.5782742213	
18000	-795729.7600786913	
18100	-795731.4685994607	
18200	-795733.1443105732	
18300	-795734.3005878044	
18400	-795730.3184526599	
18500	-795728.0491358754	
18600	-795726.4277608879	
18700	-795725.7713074344	
18800	-795705.5017466013	
18900	-795703.6127052092	
19000	-795702.5209835868	
19100	-795691.4778982457	
19200	-795689.9465572876	
19300	-795686.1374619374	
19400	-795684.1998391168	
19500	-795683.0845541067	
19600	-795680.0835288294	
19700	-795677.0001733185	
19800	-794625.3597212053	
19900	-794624.1877405813	
20000	-794621.4886159642	
20100	-794599.0247117514	
20200	-794591.7804398952	
20300	-794589.8533590323	
20400	-794577.8424585257	
20500	-794436.4291801278	
20600	-794436.3262846126	
20700	-794436.0037114366	
20800	-794437.3509595153	
20900	-794433.758906721	
21000	-794432.3882866979	
21100	-794430.7450694754	
21200	-794408.6541096297	
21300	-794408.2738341293	
21400	-794409.2411356978	
21500	-794389.6728856086	
21600	-794386.5474461938	
21700	-794202.6551463312	
21800	-794201.7784882297	
21900	-794201.020544112	
22000	-794197.9782077129	
22100	-794195.4576630744	
22200	-794186.7426564443	
22300	-794173.6799373273	
22400	-794169.8020949074	
22500	-794170.3162461825	
22600	-794169.5472915219	
22700	-794164.3261646134	
22800	-794159.7300015372	
22900	-794159.3583426361	
23000	-794143.7158884533	
23100	-794146.4777074467	
23200	-794145.8861089551	
23300	-794146.6994866999	
23400	-794145.0711118969	
23500	-794143.5550287829	
23600	-794140.5514897335	
23700	-794137.8227449915	
23800	-794140.2311385517	
23900	-794140.0881263538	
24000	-794141.2663002731	
24100	-794134.9662513634	
24200	-794134.8633105786	
24300	-794094.8020010702	
24400	-794096.7320881078	
24500	-794096.1594135587	
24600	-794100.693721639	
24700	-794100.4146788229	
24800	-794095.0781750897	
24900	-794093.01947692	
25000	-794091.5179423034	
25100	-794094.889570691	
25200	-794094.1855857513	
25300	-794092.7468206668	
25400	-794090.3540134513	
25500	-794087.7128499901	
25600	-794087.314311443	
25700	-792892.9687423201	
25800	-792891.5191593824	
25900	-792869.2722350084	
26000	-792869.5863718344	
26100	-792468.3471877174	
26200	-792468.046181516	
26300	-792434.857443889	
26400	-792428.8940001272	
26500	-792428.9914738252	
26600	-792429.9465301968	
26700	-792421.58384316	
26800	-792422.3726261399	
26900	-792425.7072769717	
27000	-792423.9927693934	
27100	-792416.8476377712	
27200	-792355.003499688	
27300	-792354.6823469443	
27400	-792350.6074775454	
27500	-792346.4176436367	
27600	-792345.0278553766	
27700	-792339.101612865	
27800	-792337.9985662859	
27900	-792339.1077036267	
28000	-792338.6281581301	
28100	-792338.3599151577	
28200	-792328.8902051244	
28300	-792326.86896826	
28400	-792321.300233002	
28500	-792320.549119797	
28600	-792320.2879431666	
28700	-792319.4541332374	
28800	-792316.960462052	
28900	-792313.0199940824	
29000	-792279.3820021371	
29100	-792276.4635116969	
29200	-792276.4886274702	
29300	-792273.8182961086	
29400	-792269.527341071	
29500	-792257.3769444288	
29600	-792256.2633448876	
29700	-792255.7553764213	
29800	-792254.4084321978	
29900	-792254.1109278321	
30000	-792253.0116064813	
30100	-792246.2407299618	
30200	-792245.8833537195	
30300	-792234.3160510653	
30400	-792234.506494306	
30500	-792230.838307903	
30600	-792230.9714323138	
30700	-792234.851393699	
30800	-792235.2919443143	
30900	-792224.8043144706	
31000	-792222.2331177957	
31100	-792222.782672328	
31200	-792189.6134021098	
31300	-792192.7389669146	
31400	-792193.3294839761	
31500	-792189.5224693887	
31600	-792186.0181654745	
31700	-792185.4723671472	
31800	-792187.2125702162	
31900	-792136.8977575075	
32000	-792136.7237044919	
32100	-792136.5404077118	
32200	-792136.1464648439	
32300	-792109.2856249121	
32400	-792110.0166465833	
32500	-792110.0329780336	
32600	-792099.3597156123	
32700	-792099.6044854427	
32800	-792088.4970579956	
32900	-792086.7320553125	
33000	-792085.4570400754	
33100	-792082.9944311343	
33200	-792082.8331873601	
33300	-792082.236870399	
33400	-792081.5394329403	
33500	-792084.2993302667	
33600	-792084.4150477633	
33700	-792082.2208544024	
33800	-792039.0784175103	
33900	-792035.5073847246	
34000	-792029.8844240473	
34100	-792025.783475288	
34200	-792025.4697690862	
34300	-792025.2138154104	
34400	-792025.8265147198	
34500	-792026.5073114579	
34600	-792031.1116624164	
34700	-792026.5736424399	
34800	-792024.8294875491	
34900	-792026.406377048	
35000	-792025.175851306	
35100	-792021.597327546	
35200	-792022.5655871468	
35300	-791984.4900377581	
35400	-791982.5873090603	
35500	-791983.4218329573	
35600	-791911.8085199407	
35700	-791842.2081038934	
35800	-791837.9610756346	
35900	-791830.3412118853	
36000	-791762.3432152848	
36100	-791758.8042760938	
36200	-791758.8816364394	
36300	-791682.3320632109	
36400	-791681.7687154943	
36500	-791681.3463277053	
36600	-791680.8623282888	
36700	-791680.2168325686	
36800	-791678.0828034078	
36900	-791676.5719608226	
37000	-791675.6110630737	
37100	-791675.4308224533	
37200	-791675.1288029309	
37300	-791674.4505381148	
37400	-791676.7273023739	
37500	-791677.1063194188	
37600	-791677.8154484654	
37700	-791677.6565894115	
37800	-791674.8938881834	
37900	-791658.4247832423	
38000	-791658.4849342367	
38100	-791656.6841832607	
38200	-791656.1341107498	
38300	-791658.4215089396	
38400	-791653.7967687375	
38500	-791653.4037489113	
38600	-791655.3870734174	
38700	-791656.1886358773	
38800	-791656.7387990848	
38900	-791656.9235854428	
39000	-791654.599345096	
39100	-791655.511909329	
39200	-791612.5739108607	
39300	-791612.7128338182	
39400	-791612.1178978903	
39500	-791610.380303366	
39600	-791573.389593035	
39700	-791574.4908082039	
39800	-791574.2545255678	
39900	-791574.234274388	
40000	-791563.3999345071	
40100	-791562.2504747832	
40200	-791563.41159235	
40300	-791562.3931856903	
40400	-791560.5979226689	
40500	-791561.7060558203	
40600	-791560.6357151974	
40700	-791560.976126099	
40800	-791559.3520139662	
40900	-791557.9626861407	
41000	-791529.0015672526	
41100	-791323.2422844649	
41200	-791315.4928242444	
41300	-791315.5927063563	
41400	-791300.8727438521	
41500	-791300.1880688949	
41600	-791093.5890893424	
41700	-791093.7586158018	
41800	-791087.1693852836	
41900	-791086.1746155197	
42000	-791085.7846441361	
42100	-791086.0638465801	
42200	-791077.1199089502	
42300	-791073.0576248969	
42400	-791071.7529315467	
42500	-791071.4271652704	
42600	-791070.8647660034	
42700	-791063.0954267106	
42800	-791061.8374847595	
42900	-791062.2269464327	
43000	-791037.0094851636	
43100	-791036.9225025942	
43200	-791014.9477035067	
43300	-791002.8702432947	
43400	-790982.260542867	
43500	-790981.4190670791	
43600	-790970.8029714884	
43700	-790144.6615073199	
43800	-790144.1566869494	
43900	-790135.3994221337	
44000	-790133.8397574148	
44100	-789946.2059537419	
44200	-789930.3337241817	
44300	-789930.6432696141	
44400	-789714.2233254015	
44500	-789711.6506643113	
44600	-789702.170415497	
44700	-789702.0150405171	
44800	-789702.3328769438	
44900	-789690.7543049279	
45000	-789663.7677368099	
45100	-789664.6461279233	
45200	-789640.1213755824	
45300	-789526.7610595683	
45400	-789525.8988027641	
45500	-789526.8500260151	
45600	-789470.5432868763	
45700	-789440.5530589141	
45800	-789442.4846645999	
45900	-789441.8143090168	
46000	-789440.683491946	
46100	-789441.1096116009	
46200	-789441.3445147005	
46300	-789396.8106817126	
46400	-789397.2811302907	
46500	-789396.9963911545	
46600	-789398.7965032429	
46700	-789399.0496219307	
46800	-789397.520134265	
46900	-789396.0192138492	
47000	-789398.0568524791	
47100	-789397.9018848706	
47200	-789377.1085076714	
47300	-789374.459866259	
47400	-789377.0129972837	
47500	-789375.8292982935	
47600	-789374.6163707543	
47700	-789374.7410073901	
47800	-789359.1316697273	
47900	-789358.1720592565	
48000	-789359.0880752064	
48100	-789359.6256298681	
48200	-789358.8016769106	
48300	-789356.5324629422	
48400	-789329.383268164	
48500	-789330.358806873	
48600	-789330.0056257751	
48700	-789329.4578048717	
48800	-789310.8041253937	
48900	-789310.228456663	
49000	-789304.5657355926	
49100	-789303.3654777652	
49200	-789297.5195575493	
49300	-789297.0531577074	
49400	-789298.963304198	
49500	-789289.0167747978	
49600	-789285.7998140357	
49700	-789234.4517619736	
49800	-789235.4416786672	
49900	-789233.3431407094	
50000	-789232.9090831265	
50100	-789236.7853635545	
50200	-789239.5647422177	
50300	-789238.2362241808	
50400	-789238.3454937747	
50500	-789239.9092531763	
50600	-789238.9212604541	
50700	-789239.9107143108	
50800	-789240.2306498671	
50900	-789237.6970573629	
51000	-789234.7955020958	
51100	-789219.2173507507	
51200	-789218.0670482236	
51300	-789219.4129331437	
51400	-789220.1121890999	
51500	-789214.8401075321	
51600	-789211.9230291417	
51700	-789209.7916588194	
51800	-789184.7130707441	
51900	-789185.4831148706	
52000	-789183.2984956327	
52100	-788769.2071190953	
52200	-788752.8000189131	
52300	-788752.1837988128	
52400	-788754.3116863214	
52500	-788753.8104745828	
52600	-788741.8233583703	
52700	-788742.3780144447	
52800	-788741.4933276642	
52900	-788733.0548712753	
53000	-788734.1655072081	
53100	-788734.1505045717	
53200	-788734.8617813442	
53300	-788728.1403702452	
53400	-788726.7656217979	
53500	-788724.6821506561	
53600	-788724.5544854827	
